,ticker,company_name,merged_company_name,spac_name,completion_date,post-completion_events,total_return_since_SPAC_IPO_spactrack,annualized_return_spactrack,current_price_spactrack,percent_change_prev_spactrack,market_cap_spactrack,is_warrants_trading,SPAC_IPO_date,SPAC_IPO_size,SPAC_initial_target_industry,notable_leadership_/_sponsor,SPAC_underwriter(s),Status,open_after_completion_date,close_1yr_after_completion_date,1yr_after_completion_date,is_goldman_underwriter,is_earlybird_underwriter,is_deutsche_underwriter,is_cantor_underwriter,is_chardan_underwriter,is_I-Bankers_underwriter,is_citigroup_underwriter
0,DKNG,DraftKings Inc,,Diamond Eagle Acquisition Corp (DEAC),2020-04-23,,412.30%,,$51.23,4.94%,"$18,268,431,693",False,2019-05-10,$400.00,"Online Casino, Sports Betting","Jeff Sagansky, Harry Sloan (Former CEO of MGM)","Deutsche Bank, Goldman Sachs",Trading,20.494,,,True,False,True,False,False,False,False
1,IMVT,Immunovant Inc.,Immunovant Sciences Ltd.,Health Sciences Acquisition (IMVT),2019-12-19,,312.30%,,$41.23,-2.26%,"$3,591,696,996",False,2019-05-09,$100.00,"Biopharma, MedTech, Healthcare",RTW Investments,"Chardan, UBS",Trading,15.53,,,False,False,False,False,True,False,False
2,CCC,Clarivate Analytics Plc,,Churchill Capital I (CCC),2019-05-13,,227.00%,159.95%,$32.70,-0.30%,"$12,682,396,230",True,2018-09-06,$690.00,,"Michael Klein (Former Co-CEO of Citi Markets and Banking), Jerre Stead (Former IHS CEO)","Citi, B. Riley FBR",Trading,13.45,22.84,2020-05-12,False,False,False,False,False,False,True
3,PRPL,"Purple Innovation, Inc.",,Global Partner Acquisition Corp. (GPAC),2018-02-02,,194.80%,72.33%,$29.48,1.80%,,True,2015-07-29,$155.25,,,Deutsche Bank,Trading,9.7,5.71,2019-02-04,False,False,True,False,False,False,False
4,HYLN,Hyliion,,Tortoise Acquisition Corp (SHLL),2020-10-01,,190.00%,,$29.00,-2.46%,"$4,463,152,200",True,2019-02-27,$233.00,Energy,Vincent T. Cubbage (Tortoise Capital Advisors),"Barclays, Goldman Sachs",Trading,39.990002,,,True,False,False,False,False,False,False
5,LPRO,Open Lending Corp.,,Nebula Acquisition Corporation (NEBU),2020-06-10,,169.80%,,$26.98,1.09%,"$3,014,915,464",False,2018-01-09,$250.00,Tech,True Wind Capital,"Deutsche Bank, Goldman Sachs",Trading,14.76,,,True,False,True,False,False,False,False
6,AHCO,AdaptHealth,,DFB Healthcare Acquisitions (DFBH),2019-11-08,,161.90%,,$26.19,0.21%,"$2,192,135,140",True,2018-02-16,$250.00,Healthcare,Deerfield,"Goldman Sachs, Deutsche Bank",Trading,10.0,,,True,False,True,False,False,False,False
7,RPAY,Repay Holdings Corporation,,"Thunder Bridge Acquisition, Ltd. (TBRG)",2019-07-11,,147.30%,117.13%,$24.73,-1.55%,"$2,012,697,762",False,2018-06-19,$225.00,FinTech,"Peter Kight, Founder CheckFree (acquired by FiServ), Board Member of Bill.com","Cantor, CITIC",Trading,13.75,25.72,2020-07-10,False,False,False,True,False,False,True
8,NKLA,Nikola Corporation,,VectoIQ Acquisition Corp (VTIQ),2020-06-03,,142.00%,,$24.20,-1.86%,"$9,167,550,592",False,2018-05-15,$230.00,,"Trevor Milton (Chairman, Nikola), Stephen Girsky (CEO VectoIQ; Former Vice Chairman, General Motors)","Cowen, Chardan",Trading,37.55,,,False,False,False,False,True,False,False
9,SMPL,The Simply Good Foods Company,"Atkins Nutritionals, Inc",Conyers Park Acquisition Corp (CPAA),2017-07-07,,121.90%,37.30%,$22.19,1.84%,"$2,116,482,250",False,2016-07-14,$402.50,,"Centerview Capital, James Kilts (Partner, Centerview Capital Consumer; Former CEO of Gillette; Former CEO of Nabisco; Former Pres. of Kraft USA)","Deutsche Bank, Goldman Sachs",Trading,12.2,15.15,2018-07-09,True,False,True,False,False,False,False
